,User,Tweet,Time
35,1655317753551630338,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:04:41+00:00
36,1655317437116473345,Thousands of electric car chargers pulled from UK roads after energy price surge - MSN https://t.co/frmegS7SBz,2023-05-07 21:03:25+00:00
37,1655317426190581760,"BuTure JR100 Cordless Vacuum Cleaner, 30KPa Powerful Stick Vacuum with 30min Runtime, LED Electric Brush, Detachable Battery, Lightweight Handheld Vacuum for Hardwood Floor Carpet Stair Car Pet Hair #Amazon🇨🇦
https://t.co/jCT7RAOGvR",2023-05-07 21:03:23+00:00
38,1655317336763559936,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:03:02+00:00
39,1655317190571327491,"Smart 2 In 1 Car Heating Cooling Cup For Coffee Miik Drinks Electric Beverage Warmer Cooler Holder Travel Mini Car Refrigerator SSYH058

https://t.co/ZW1DxMBjgM https://t.co/u6cas0E0th",2023-05-07 21:02:27+00:00
40,1655317181008314368,RT @EvaFoxU: Tesla Model Y became the best-selling car in Switzerland through the first four months of 2023. The electric SUV has taken the…,2023-05-07 21:02:24+00:00
41,1655316948698255360,https://t.co/oZmwiDEmLm #EVs #ElectricVehicles,2023-05-07 21:01:29+00:00
42,1655316865218932736,@BorusewiczAdam @i3Roadtrip @MGmotor @road_electric @HibbsA @christaylor1215 @f1mclarenfan @ElectrifyingCom @evbriefmedia @B_McBeardface @Indra_rt @PluckleySave @cracking_energy @jeckythump @MGEVOwnersClub Drive the car not the badge.,2023-05-07 21:01:09+00:00
43,1655316831677169665,"Car companies aren’t in the business of “saving humanity” but doing what is good for their bottom line and for shareholders, hence the bigger (more expensive) vehicles. Electric cars aren’t meant to save the world, they’re intended to save the auto industry. https://t.co/LKxqqeHFLJ",2023-05-07 21:01:01+00:00
44,1655316665662357511,"Thousands of electric car chargers pulled from UK roads after energy price surge

https://t.co/Qv6yBAvcV3",2023-05-07 21:00:22+00:00
45,1655316449609613320,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 20:59:30+00:00
46,1655316423638503424,"RT @NigeriaStories: Made in Nigeria electric car 🚙 

Electric Motor Vehicle Company (EMVC), a Nigerian- owned company manufactures Nigeria’…",2023-05-07 20:59:24+00:00
47,1655315896955727872,"@WholeMarsBlog Tesla are not affordable. And you can't go on long trips anywhere in the US practically on an electric car. Be prepared to wait several hours to charge on semi long trips. 

These are a few reasons why electric vehicles aren't ""taking off"" and why it's insane to force people.",2023-05-07 20:57:18+00:00
48,1655315787651874820,"@jeremycole @_david_ho_ Electric bicycle
https://t.co/lURdOODBJe

safe fast dedicated ebikeways r logical next step

Brit 2018 study found e-bikes, if used to replace car travel, have capability to ""cut car carbon dioxide (CO2) emissions in England by up to 50% (about 30 million tonnes per year)""",2023-05-07 20:56:52+00:00
49,1655315256791687200,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 20:54:46+00:00
50,1655315221882208258,"@JirayD @davideneco25320 @coolcars_kirei Unfortunately yes.

The worst bit is the green bit on the license plate indicates that the car is electric.",2023-05-07 20:54:37+00:00
51,1655315050394013700,"2023 Toyota Prius - How amazing is this car?

🕹 Engine: 2.0L 4-Cyl. Gas/Electric Hybrid FWD
⛽ MPG 57 city / 56 hwy
🐎 Power: 150  hp

🚗⁠ Contact us at Summit Toyota for more information on the 2023 Toyota Prius and read more at Toyota https://t.co/a25pUTl3a7 https://t.co/XesKrnz3J3",2023-05-07 20:53:56+00:00
52,1655314931875557386,"RT @NigeriaStories: Made in Nigeria electric car 🚙 

Electric Motor Vehicle Company (EMVC), a Nigerian- owned company manufactures Nigeria’…",2023-05-07 20:53:28+00:00
53,1655314737159127044,"Unrelated, but when walking back to my car, I walked by an outdoor restaurant with a guy playing “Like A Stone” alone on his electric guitar.",2023-05-07 20:52:42+00:00
54,1655314478433460228,"RT @TAktionare: Here Tesla is building its own train connection at the Grünheide plant
10,000 people work for the electric car manufacturer…",2023-05-07 20:51:40+00:00
55,1655314226632687619,what if elon just tampers with maxs car in spite of it not being fully electric https://t.co/uUZnerJpZH,2023-05-07 20:50:40+00:00
